Expression: ^\d+::([\w\s:,\.\(\)'\-\/!&ÁÉÍÓÚáéíóúäëïöü]+)\s(\(\d\d\d\d\))::.*$
{title: Sibling Rivalry, year: (1990)}
{title: Undercover Blues, year: (1993)}
{title: Wildcats, year: (1986)}
{title: Wiz, The, year: (1978)}
{title: Cartouche, year: (1962)}
{title: Marrying Man, The, year: (1991)}
6319::My Father the Hero (Mon père, ce héros.) (1991)::Comedy|Drama
{title: Scenes from a Mall, year: (1991)}
{title: Stella, year: (1990)}
{title: Confidence, year: (2003)}
{title: Identity, year: (2003)}
{title: It Runs in the Family, year: (2003)}
{title: Real Cancun, The, year: (2003)}
{title: City of Ghosts, year: (2002)}
{title: Decade Under the Influence, A, year: (2003)}
{title: House of Fools (Dom Durakov), year: (2002)}
{title: Manic, year: (2001)}
{title: People I Know, year: (2002)}
{title: Spellbound, year: (2002)}
{title: Lizzie McGuire Movie, The, year: (2003)}
{title: X2: X-Men United, year: (2003)}
{title: Blue Car, year: (2002)}
{title: Dancer Upstairs, The, year: (2002)}
{title: Marooned in Iraq (Gomgashtei dar Aragh), year: (2002)}
{title: Owning Mahowny, year: (2003)}
{title: Daddy Day Care, year: (2003)}
{title: Man on the Train (L'Homme du train), year: (2002)}
{title: Only the Strong Survive - A Celebration of Soul, year: (2002)}
{title: Shape of Things, The, year: (2003)}
{title: Trip, The, year: (2002)}
{title: Washington Heights, year: (2002)}
{title: 101 Reykjavik (101 Reykjavík), year: (2000)}
{title: Chorus Line, A, year: (1985)}
{title: Absolute Beginners, year: (1986)}
{title: Beat Street, year: (1984)}
{title: Breakin' 2: Electric Boogaloo, year: (1984)}
{title: Breakin', year: (1984)}
6350::Castle in the Sky (Tenkû no shiro Rapyuta) (1986)::Adventure|Animation|Children|Fantasy
{title: Hysterical Blindness, year: (2002)}
{title: Lambada, year: (1990)}
{title: Roadie, year: (1980)}
{title: Carpetbaggers, The, year: (1964)}
{title: Girls, Les, year: (1957)}
{title: Gunfight at the O.K. Corral, year: (1957)}
{title: High Society, year: (1956)}
{title: Kiss Me Kate, year: (1953)}
{title: Matrix Reloaded, The, year: (2003)}
{title: Dracula: Pages from a Virgin's Diary, year: (2001)}
{title: Down with Love, year: (2003)}
{title: Cinemania, year: (2002)}
{title: Friends and Family, year: (2001)}
{title: Spanish Apartment, The (L'auberge Espagnole), year: (2002)}
{title: Pokémon Heroes, year: (2003)}
{title: Bruce Almighty, year: (2003)}
{title: In-Laws, The, year: (2003)}
{title: Gigantic (A Tale of Two Johns), year: (2002)}
{title: Respiro, year: (2002)}
{title: Finding Nemo, year: (2003)}
{title: Italian Job, The, year: (2003)}
{title: Wrong Turn, year: (2003)}
{title: Capturing the Friedmans, year: (2003)}
6381::Three Marias, The (As Três Marias) (2002)::Drama
{title: Together (Han ni Zai Yiki), year: (2002)}
{title: 2 Fast 2 Furious, year: (2003)}
{title: Love the Hard Way, year: (2001)}
{title: Whale Rider, year: (2002)}
{title: Nevada Smith, year: (1966)}
{title: Once a Thief (Zong Heng si Hai), year: (1991)}
{title: Regeneration, year: (1997)}
{title: Silk Stockings, year: (1957)}
{title: Snowball Express, year: (1972)}
{title: Man Called Horse, A, year: (1970)}
6393::For Sale (À Vendre) (1998)::Drama
{title: Big Jake, year: (1971)}
{title: Crazies, The (a.k.a. Code Name: Trixie), year: (1973)}
{title: Dementia 13, year: (1963)}
6397::Bizarre, Bizarre (Drôle de drame ou L'étrange aventure de Docteur Molyneux) (1937)::Comedy
{title: Le Mans, year: (1971)}
{title: Murder on a Sunday Morning (Un coupable idéal), year: (2001)}
{title: Rio Lobo, year: (1970)}
{title: Siam Sunset, year: (1999)}
{title: Swimmer, The, year: (1968)}
{title: White Sheik, The (Lo Sceicco bianco), year: (1952)}
{title: Treasure Island, year: (1950)}
{title: Two Evil Eyes, year: (1990)}
{title: Walk, Don't Run, year: (1966)}
{title: Animals Are Beautiful People, year: (1974)}
{title: Bend of the River, year: (1952)}
{title: Car Wash, year: (1976)}
{title: Come September, year: (1961)}
{title: Destry Rides Again, year: (1939)}
{title: Electric Horseman, The, year: (1979)}
{title: Gay Purr-ee, year: (1962)}
{title: Intervista, year: (1987)}
{title: King Rat, year: (1965)}
{title: Live Wire, year: (1992)}
{title: Mr. & Mrs. Bridge, year: (1990)}
{title: Night Passage, year: (1957)}
{title: Rare Breed, The, year: (1966)}
{title: Shenandoah, year: (1965)}
{title: Straight Talk, year: (1992)}
{title: Oscar, year: (1991)}
{title: 6th Man, The, year: (1997)}
{title: Far Country, The, year: (1954)}
{title: Railway Children, The, year: (1970)}
{title: Two Mules for Sister Sara, year: (1969)}
{title: Winchester '73, year: (1950)}
{title: Ziggy Stardust and the Spiders from Mars, year: (1973)}
{title: Battle Cry, year: (1955)}
{title: Courtship of Eddie's Father, The, year: (1963)}
{title: Man with the Movie Camera, The (Chelovek s kino-apparatom), year: (1929)}
{title: Objective, Burma!, year: (1945)}
{title: Operation Pacific, year: (1951)}
{title: This Boy's Life, year: (1993)}
{title: 13 Rue Madeleine, year: (1947)}
{title: 633 Squadron, year: (1964)}
{title: Attack, year: (1956)}
{title: Barton Fink, year: (1991)}
{title: Battle of Britain, year: (1969)}
{title: Belle époque, year: (1992)}
{title: Big Trail, The, year: (1930)}
{title: Cloak and Dagger, year: (1946)}
{title: Comancheros, The, year: (1961)}
{title: Duel at Diablo, year: (1966)}
{title: Flight of the Phoenix, The, year: (1965)}
{title: From the Terrace, year: (1960)}
{title: Heaven Knows, Mr. Allison, year: (1957)}
{title: Hot Rock, The, year: (1972)}
{title: Long, Hot Summer, The, year: (1958)}
{title: Man of Aran, year: (1934)}
{title: Music Box, year: (1989)}
{title: North to Alaska, year: (1960)}
6456::Beast Must Die, The (Que la bête meure) (1969)::Crime|Drama|Thriller
{title: Sink the Bismark!, year: (1960)}
{title: Blue Max, The, year: (1966)}
{title: Desert Fox, The, year: (1951)}
6460::Trial, The (Le Procès) (1962)::Drama
{title: Unforgiven, The, year: (1960)}
{title: Undefeated, The, year: (1969)}
{title: Divine Trash, year: (1998)}
{title: Good Burger, year: (1997)}
{title: Jubilee, year: (1977)}
{title: Mississippi Masala, year: (1991)}
6467::Jenny Lamour (Quai des Orfèvres) (1947)::Crime|Drama
{title: Stranger Among Us, A, year: (1992)}
{title: Cahill: United States Marshal, year: (1973)}
{title: Chisum, year: (1970)}
{title: Defence of the Realm, year: (1985)}
{title: Eat a Bowl of Tea, year: (1989)}
{title: Half Moon Street, year: (1986)}
{title: Truce, The (a.k.a. La Tregua), year: (1996)}
{title: Opportunity Knocks, year: (1990)}
{title: Shattered, year: (1991)}
{title: Song of Bernadette, The, year: (1943)}
{title: Life and Times of Judge Roy Bean, The, year: (1972)}
{title: Spirit of '76, The, year: (1990)}
{title: Thoroughly Modern Millie, year: (1967)}
{title: Where the Heart Is, year: (1990)}
{title: Dumb and Dumberer: When Harry Met Lloyd, year: (2003)}
{title: From Justin to Kelly, year: (2003)}
{title: Hollywood Homicide, year: (2003)}
{title: Rugrats Go Wild!, year: (2003)}
{title: Hard Word, The, year: (2002)}
{title: Heart of Me, The, year: (2002)}
{title: Jet Lag (Décalage horaire), year: (2002)}
{title: Loco Love (Mi Casa, Su Casa), year: (2002)}
{title: Manito, year: (2002)}
{title: No Turning Back, year: (2001)}
{title: Tycoon (Oligarkh), year: (2002)}
{title: Alex and Emma, year: (2003)}
{title: On_Line (a.k.a. On Line), year: (2002)}
{title: Experiment in Terror, year: (1962)}
{title: Ecstasy (Éxtasis), year: (1996)}
6497::Is Paris Burning? (Paris brûle-t-il?) (1966)::Drama|War
{title: Murphy's War, year: (1971)}
{title: Orphans of the Storm, year: (1921)}
{title: Satanic Rites of Dracula, The, year: (1974)}
{title: Strange Planet, year: (1999)}
{title: 28 Days Later, year: (2002)}
{title: Charlie's Angels: Full Throttle, year: (2003)}
{title: Gasoline (Benzina), year: (2001)}
{title: Ed and His Dead Mother, year: (1993)}
{title: Fulltime Killer (Chuen jik sat sau), year: (2001)}
{title: Just a Little Harmless Sex, year: (1999)}
{title: Bank, The, year: (2001)}
{title: Ali: Fear Eats the Soul (Angst essen Seele auf), year: (1974)}
{title: Bodies, Rest & Motion, year: (1993)}
{title: Jesus, year: (1979)}
{title: Long Ships, The, year: (1963)}
{title: Made for Each Other, year: (1939)}
{title: Ring of Terror, year: (1962)}
{title: You Only Live Once, year: (1937)}
{title: Anastasia, year: (1956)}
{title: Babe, The, year: (1992)}
{title: Flight of the Intruder, year: (1991)}
{title: Fun with Dick and Jane, year: (1977)}
{title: Knights of the Round Table, year: (1953)}
{title: Main Event, The, year: (1979)}
6522::Man's Favorite Sport? (1964)::Comedy
{title: Mr. Baseball, year: (1992)}
{title: Never on Sunday (Pote tin Kyriaki), year: (1960)}
{title: Nuts, year: (1987)}
6526::Rhapsody in August (Hachigatsu no rapusodî) (1991)::Drama
{title: Scaramouche, year: (1952)}
{title: Start the Revolution Without Me, year: (1970)}
{title: Strange Bedfellows, year: (1965)}
{title: Tenant, The, year: (1976)}
{title: Hour of the Pig, The, year: (1993)}
{title: Up the Sandbox, year: (1972)}
6533::What's Up, Doc? (1972)::Comedy
{title: Hulk, year: (2003)}
{title: Legally Blonde 2: Red, White & Blonde, year: (2003)}
{title: Sinbad: Legend of the Seven Seas, year: (2003)}
{title: Terminator 3: Rise of the Machines, year: (2003)}
{title: Swimming Pool, year: (2003)}
{title: Pirates of the Caribbean: The Curse of the Black Pearl, year: (2003)}
6540::Madame Satã (2002)::Drama
{title: League of Extraordinary Gentlemen, The, year: (2003)}
{title: Cuckoo, The (Kukushka), year: (2002)}
{title: Holy Land, The, year: (2001)}
{title: Housekeeper, The (Une femme de ménage), year: (2002)}
{title: I Capture the Castle, year: (2003)}
{title: Km. 0 - Kilometer Zero (Kilómetro cero), year: (2000)}
{title: Northfork, year: (2003)}
{title: Bad Boys II, year: (2003)}
{title: How to Deal, year: (2003)}
{title: Johnny English, year: (2003)}
{title: Anarchist Cookbook, The, year: (2002)}
{title: Dirty Pretty Things, year: (2002)}
{title: Embalmer, The (L'Imbalsamatore), year: (2002)}
{title: Garage Days, year: (2002)}
{title: On the Run (Cavale), year: (2002)}
{title: Sea Is Watching, The (Umi wa miteita), year: (2002)}
{title: Born to Be Wild, year: (1995)}
{title: Curly Sue, year: (1991)}
{title: Little Giants, year: (1994)}
{title: Loose Cannons, year: (1990)}
{title: Mouse That Roared, The, year: (1959)}
{title: Spencer's Mountain, year: (1963)}
{title: Masked & Anonymous, year: (2003)}
{title: Lara Croft Tomb Raider: The Cradle of Life, year: (2003)}
{title: Seabiscuit, year: (2003)}
{title: Spy Kids 3-D: Game Over, year: (2003)}
{title: Buffalo Soldiers, year: (2001)}
{title: Camp, year: (2003)}
{title: Hotel, year: (2001)}
{title: Lucia Lucia (La Hija del Canibal), year: (2003)}
{title: Mondays in the Sun (Los Lunes al sol), year: (2002)}
{title: Scorched, year: (2003)}
{title: Avanti!, year: (1972)}
{title: Eve of Destruction, year: (1991)}
{title: Gator, year: (1976)}
{title: Juggernaut, year: (1974)}
{title: Kickboxer 2: The Road Back, year: (1991)}
{title: Kiss Me, Stupid, year: (1964)}
{title: One, Two, Three, year: (1961)}
{title: Possible Loves (Amores Possíveis), year: (2000)}
{title: Private Life of Sherlock Holmes, The, year: (1970)}
{title: Remo Williams: The Adventure Begins, year: (1985)}
{title: Blood of Heroes, The, year: (1988)}
6584::What's Up, Tiger Lily? (1966)::Adventure|Comedy|Crime|Thriller
{title: White Lightning, year: (1973)}
{title: American Wedding, year: (2003)}
{title: Gigli, year: (2003)}
{title: And Now... Ladies and Gentlemen, year: (2002)}
{title: Boys Life 4: Four Play, year: (2003)}
{title: I'll Be There, year: (2003)}
{title: Magdalene Sisters, The, year: (2002)}
{title: Secret Lives of Dentists, The, year: (2002)}
{title: Freaky Friday, year: (2003)}
{title: Seaside (Bord de Mer), year: (2002)}
{title: S.W.A.T., year: (2003)}
{title: Divorce, Le, year: (2003)}
{title: Princess Blade, The (Shura Yukihime), year: (2001)}
{title: Step Into Liquid, year: (2002)}
{title: Accattone, year: (1961)}
{title: ...And God Spoke, year: (1993)}
{title: Big Trouble, year: (1986)}
{title: Brain Damage, year: (1988)}
{title: Double Life, A, year: (1947)}
{title: Hawks and Sparrows (Uccellacci e Uccellini), year: (1966)}
{title: Man in the Glass Booth, The, year: (1975)}
{title: Purpose, year: (2002)}
{title: Red Pony, The, year: (1949)}
{title: Sex & the Other Man, year: (1996)}
{title: Gospel According to St. Matthew, The (Il Vangelo secondo Matteo), year: (1964)}
{title: Honeymoon Killers, The, year: (1970)}
{title: Umberto D., year: (1952)}
{title: Brother's Keeper, year: (1992)}
{title: Day of the Dolphin, The, year: (1973)}
{title: I Love You to Death, year: (1990)}
{title: Freddy Vs. Jason, year: (2003)}
{title: Grind, year: (2003)}
{title: Open Range, year: (2003)}
{title: Shaolin Soccer (Siu lam juk kau), year: (2001)}
{title: Uptown Girls, year: (2003)}
{title: American Splendor, year: (2003)}
{title: Backyard, The, year: (2002)}
{title: Carnages (a.k.a. Carnage), year: (2002)}
{title: Passionada, year: (2002)}
{title: Agent Cody Banks, year: (2003)}
{title: Camp Nowhere, year: (1994)}
{title: Cemetery Club, The, year: (1993)}
{title: Changing Habits, year: (1997)}
{title: Hot Dog... The Movie, year: (1984)}
{title: House of Wax, year: (1953)}
{title: Inn of the Sixth Happiness, The, year: (1958)}
{title: Man's Best Friend, year: (1993)}
{title: Of Unknown Origin, year: (1983)}
{title: Prince of Jutland (a.k.a. Royal Deceit), year: (1994)}
{title: Rowing with the Wind (Remando al viento), year: (1988)}
{title: Rachel Papers, The, year: (1989)}
{title: Sure Thing, The, year: (1985)}
{title: Thrashin', year: (1986)}
{title: Valley Girl, year: (1983)}
{title: Wait Until Dark, year: (1967)}
{title: Where the Rivers Flow North, year: (1993)}
{title: Code Unknown (Code inconnu: Récit incomplet de divers voyages), year: (2000)}
{title: Showdown in Little Tokyo, year: (1991)}
6643::Tokyo Story (Tôkyô monogatari) (1953)::Drama
{title: Green Ray, The (Rayon vert, Le), year: (1986)}
{title: THX 1138, year: (1971)}
{title: Valley of the Dolls, year: (1967)}
{title: Business of Fancydancing, The, year: (2002)}
{title: Chunhyang, year: (2000)}
{title: Tunes of Glory, year: (1960)}
{title: Kind Hearts and Coronets, year: (1949)}
{title: Ash Wednesday, year: (2002)}
{title: Joe Kidd, year: (1972)}
{title: Keep, The, year: (1983)}
{title: Atragon (Kaitei Gunkan), year: (1963)}
{title: Mysterians, The (Chikyu Boeigun), year: (1957)}
{title: Attack of the Puppet People, year: (1958)}
{title: Beast from 20,000 Fathoms, The, year: (1953)}
{title: 10, year: (1979)}
{title: Tremors, year: (1990)}
{title: Red Shoes, The, year: (1948)}
{title: Me & Isaac Newton, year: (1999)}
{title: Pink Panther, The, year: (1963)}
{title: Pink Panther Strikes Again, The, year: (1976)}
{title: Commando, year: (1985)}
{title: Dracula, year: (1979)}
{title: Discreet Charm of the Bourgeoisie, The (Le Charme discret de la bourgeoisie), year: (1972)}
{title: Waco: The Rules of Engagement, year: (1997)}
{title: Road Home, The (Wo de fu qin mu qin), year: (1999)}
{title: Ikiru, year: (1952)}
{title: Comic Book Villains, year: (2002)}
{title: Angel at My Table, An, year: (1990)}
{title: War Photographer, year: (2001)}
6673::Ay, Carmela! (¡Ay, Carmela!) (1990)::Drama|War
{title: War and Peace (Jang Aur Aman), year: (2001)}
{title: Far Away (Loin), year: (2001)}
{title: Incident at Oglala, year: (1992)}
{title: Predictions of Fire (Prerokbe Ognja), year: (1996)}
{title: Handmaid's Tale, The, year: (1990)}
{title: Revolution OS, year: (2001)}
{title: Live Nude Girls Unite!, year: (2000)}
{title: All the Little Animals, year: (1998)}
{title: Earth, year: (1998)}
{title: Fire, year: (1996)}
{title: Death in Venice (Morte a Venezia), year: (1971)}
{title: Marci X, year: (2003)}
{title: Medallion, The, year: (2003)}
{title: My Boss's Daughter, year: (2003)}
{title: Autumn Spring (Babí léto), year: (2001)}
{title: Battle of Shaker Heights, The, year: (2003)}
{title: Don't Tempt Me (Sin noticias de Dios), year: (2001)}
{title: Dust, year: (2001)}
{title: Stoked: The Rise and Fall of Gator, year: (2002)}
{title: Venus Boyz, year: (2001)}
{title: Suddenly (Tan de Repente), year: (2002)}
{title: Jeepers Creepers 2, year: (2003)}
{title: Bollywood/Hollywood, year: (2002)}
{title: Civil Brand, year: (2002)}
{title: Nola, year: (2002)}
{title: Once Upon a Time in the Midlands, year: (2002)}
{title: Other Side of the Bed, The (El Otro Lado de la Cama), year: (2002)}
{title: Zero Day, year: (2002)}
{title: Dickie Roberts: Former Child Star, year: (2003)}
{title: Order, The, year: (2003)}
{title: Home Room, year: (2002)}
{title: Party Monster, year: (2003)}
{title: Taking Sides, year: (2001)}
{title: Cabin Fever, year: (2002)}
{title: Matchstick Men, year: (2003)}
{title: Once Upon a Time in Mexico, year: (2003)}
{title: Dummy, year: (2002)}
{title: Lost in Translation, year: (2003)}
{title: Luster, year: (2002)}
6713::Millennium Actress (Sennen joyû) (2001)::Animation|Drama|Romance
{title: So Close (Chik Yeung Tin Sai), year: (2002)}
{title: Children of the Night, year: (1991)}
{title: Daisy Miller, year: (1974)}
{title: Enlightenment Guaranteed (Erleuchtung Garantiert), year: (2000)}
{title: Gotcha!, year: (1985)}
{title: Hard to Hold, year: (1984)}
{title: Kuffs, year: (1992)}
{title: Once Upon a Time in China (Wong Fei-hung), year: (1991)}
